,0001_cyclone_1.5,0002_eTax,0003_excel_07pro,0004_ppt_07pro,0005_windows_10,0006_word_07pro,0007_wpsExcel_2019,0008_wpsPpt_2019,0009_wpsWord_2019,0010_wps_2019,0011_xingzhida_00,0012_feishu_v3.42.8,0013_DingDing_v4.6.28,0014_jindie_00,0015_sap_740,0016_yongyou_U8,0017_weixin_person_3.2.1,0018_WPS_office_Excel_dianwang,0019_outlook,0020_chrome,0021_IE10,0022_Edge,0023_360,0024_Firefox,0025_Lotus_note,0026_tonghuashun,0027_JYS_F_XJM,statistic
detect_icon_correct,6774,1887,5040,4977,3894,6590,8019,6260,6077,2939,38499,10866,13575,11219,13570,12814,6239,42088,15398,13032,4724,7311,5693,5778,5871,11027,68414,338575
detect_text_correct,6027,7888,32717,4080,7018,13985,28066,4413,17896,5962,96658,14007,18322,19213,13421,18475,7622,46398,17044,14635,11151,8849,4520,8751,6541,54778,125287,613724
detect_button_correct,12801,9775,37757,9057,10912,20575,36085,10673,23973,8901,135157,24873,31897,30432,26991,31289,13861,88486,32442,27667,15875,16160,10213,14529,12412,65805,193701,952299
gold_text_number,6175,8407,35343,4342,7201,14700,33105,4685,18715,6056,103987,14653,20371,20791,14560,19293,8272,49688,18002,15752,11890,9247,4704,9214,7574,64344,126771,657842
gold_icon_number,7108,1977,5473,5139,4099,7070,8500,6592,6502,2981,38842,11007,14523,11450,14048,13019,6453,45428,15840,13218,4938,7408,5731,6076,6211,11597,68993,350223
gold_button_number,13283,10384,40816,9481,11300,21770,41605,11277,25217,9037,142829,25660,34894,32241,28608,32312,14725,95116,33842,28970,16828,16655,10435,15290,13785,75941,195764,1008065
predict_button_number,13226,10442,39450,9622,11164,21705,39300,11528,25251,9466,142590,26853,34439,31898,28291,32313,15628,91139,33214,29573,16885,16937,10559,15901,12882,70723,195748,996727
detect_icon_recall,0.953010679,0.954476431,0.920884324,0.968476338,0.949987779,0.932107483,0.943411754,0.949635908,0.934635482,0.985910735,0.99116935,0.987189961,0.934724224,0.979825319,0.965973797,0.984253775,0.966837115,0.926477061,0.972095953,0.985928272,0.956662597,0.986906034,0.993369377,0.95095456,0.945258397,0.950849349,0.991607843,0.966741191
detect_text_recall,0.976032373,0.93826572,0.92569957,0.939659122,0.974586849,0.951360538,0.847787341,0.941942349,0.956238306,0.984478187,0.929520035,0.955913458,0.899415832,0.92410177,0.921771972,0.957601198,0.921421652,0.933786828,0.946783685,0.929088364,0.937846922,0.956959003,0.960884333,0.94975037,0.863612347,0.851330348,0.988293852,0.932935264
detect_button_recall,0.963713009,0.941352071,0.925053898,0.955278969,0.965663708,0.945107942,0.867323637,0.946439648,0.950668196,0.984950747,0.946285418,0.969329692,0.914111306,0.943891316,0.943477346,0.968339933,0.941324272,0.930295638,0.958631284,0.955022434,0.94336819,0.97027919,0.978725434,0.950228902,0.900398978,0.866527961,0.9894618,0.944680155
detect_button_precision,0.967866317,0.936123339,0.957084915,0.941280389,0.977427437,0.947938259,0.918193382,0.925832747,0.949388139,0.940312688,0.947871519,0.926265218,0.92618833,0.954041003,0.954048987,0.968309965,0.886933703,0.970890617,0.976756786,0.935549315,0.940183589,0.954124101,0.967231736,0.913716113,0.963514975,0.930461093,0.989542677,0.95542611
classification_icon_correct,6754,1810,4447,4642,3737,6290,7641,6063,5864,2841,37614,10616,13041,10597,13329,12125,6085,39990,15051,12822,4345,7156,5526,5482,5633,10691,68317,328509
classification_text_correct,6015,7869,32634,4010,6997,13932,27829,4318,17830,5900,96521,13962,18288,19048,13341,18441,7605,45611,16999,14539,11109,8778,4476,8725,6374,54476,125278,610905
classification_button_correct,12769,9679,37081,8652,10734,20222,35470,10381,23694,8741,134135,24578,31329,29645,26670,30566,13690,85601,32050,27361,15454,15934,10002,14207,12007,65167,193595,939414
predict_icon_number,6889,1851,4718,4848,3802,6467,8251,6264,6017,2940,38121,10832,13280,10993,13547,12257,6171,42247,15387,13091,4507,7386,5620,5606,5891,11425,69200,337608
predict_text_number,6337,8591,34732,4774,7362,15238,31049,5264,19234,6526,104469,16021,21159,20905,14744,20056,9457,48892,17827,16482,12378,9551,4939,10295,6991,59298,126548,659119
classification_icon_precision,0.980403528,0.977849758,0.942560387,0.957508231,0.982903709,0.972630262,0.926069556,0.967911862,0.97457203,0.966326498,0.986700241,0.980059075,0.982003005,0.963977068,0.983907869,0.989230636,0.986063831,0.946576086,0.978163378,0.979451524,0.964055892,0.968859992,0.983274004,0.977880825,0.956204363,0.935754915,0.987239883,0.973048624
classification_text_precision,0.949187298,0.915958551,0.939594607,0.839966468,0.950421068,0.914293208,0.896292953,0.820288738,0.927004258,0.90407599,0.923920014,0.871481176,0.864313054,0.911169572,0.904842642,0.919475464,0.804166218,0.932892905,0.953553593,0.882113816,0.897479392,0.919066057,0.906256309,0.847498778,0.911743657,0.91868191,0.989964282,0.926850842
classification_button_precision,0.96544684,0.926929698,0.939949301,0.899189348,0.961483331,0.931674725,0.902544527,0.900503115,0.938339072,0.92341009,0.940704116,0.915279481,0.909695401,0.92936861,0.942702623,0.94593507,0.875991804,0.939235672,0.964954534,0.925202039,0.915250217,0.940780534,0.947248784,0.893465814,0.932075757,0.921439983,0.989001164,0.942498799
classification_icon_recall,0.950196948,0.915528532,0.812534244,0.90328856,0.911685755,0.889674669,0.898941166,0.9197512,0.901876332,0.953035862,0.968384736,0.964477142,0.897954962,0.925502175,0.94881833,0.931331124,0.942972246,0.88029409,0.950189388,0.970040846,0.879910877,0.965982708,0.964229612,0.9022383,0.906939287,0.921876339,0.990201903,0.937999503
classification_text_recall,0.974089053,0.936005698,0.923351156,0.923537519,0.971670588,0.947755096,0.840628301,0.921664868,0.952711723,0.974240407,0.928202563,0.952842415,0.897746793,0.916165644,0.916277466,0.9558389,0.919366527,0.917947994,0.944283963,0.9229939,0.934314542,0.949280838,0.951530592,0.946928577,0.841563232,0.846636826,0.988222858,0.928650041
classification_button_recall,0.961303915,0.932107079,0.908491766,0.912561956,0.949911496,0.928892968,0.85254176,0.920546236,0.939604232,0.967245757,0.939130008,0.9578332,0.897833436,0.919481403,0.932256708,0.945964345,0.929711369,0.899964253,0.947048044,0.944459783,0.918350363,0.956709691,0.958505022,0.929169386,0.871019217,0.858126702,0.988920332,0.931898241
