,aware_conf015_nms_0.30,aware_conf015_nms_0.35,aware_conf015_nms_0.40,aware_conf015_nms_0.45,aware_conf015_nms_0.50
detect_icon_correct,344843.0,344856.0,344868.0,344893.0,344776.0
detect_text_correct,641214.0,641500.0,641760.0,641990.0,642112.0
detect_button_correct,986057.0,986356.0,986628.0,986883.0,986888.0
gold_text_number,657842.0,657842.0,657842.0,657842.0,657842.0
gold_icon_number,350223.0,350223.0,350223.0,350223.0,350223.0
gold_button_number,1008065.0,1008065.0,1008065.0,1008065.0,1008065.0
predict_button_number,1020038.0,1022056.0,1024661.0,1028022.0,1022740.0
detect_icon_recall,0.9846383589856044,0.9846754781925096,0.9847097420758067,0.9847811251660092,0.9844470523038622
detect_text_recall,0.9747234138273708,0.9751581686773192,0.97555340035909,0.975903028385272,0.9760884832513338
detect_button_recall,0.978168074478354,0.9784646823359818,0.978734506206466,0.9789874660850452,0.9789924260826643
detect_button_precision,0.9666865352065642,0.9650704071000366,0.9628823581643462,0.9599823739171341,0.964945147348334
classification_icon_correct,339566.0,339572.0,339577.0,339593.0,337254.0
classification_text_correct,639453.0,639747.0,640016.0,640359.0,640529.0
classification_button_correct,979019.0,979319.0,979593.0,979952.0,977783.0
predict_icon_number,346999.0,347318.0,347939.0,348346.0,345252.0
predict_text_number,673039.0,674738.0,676722.0,679676.0,677488.0
classification_icon_precision,0.9785791889861972,0.9776976718713752,0.9759670516930382,0.9748726840527094,0.9768343123255568
classification_text_precision,0.9500979883766764,0.9481413526421394,0.9457591152630684,0.9421533201099609,0.9454470042259856
classification_button_precision,0.959786792255818,0.9581852657770628,0.9560166728303742,0.95324030030393,0.956042591469038
classification_icon_recall,0.969570816305698,0.9695879482473464,0.9696022248653868,0.9696479100431163,0.9629693081237868
classification_text_recall,0.9720464792442988,0.9724933950690704,0.9729023078475182,0.9734237096430852,0.9736821303580896
classification_button_recall,0.9711863818295732,0.9714839816867252,0.9717557895562572,0.9721119173853152,0.969960270418108
ocr_correct,0.0,0.0,0.0,0.0,0.0
predict_ocr_number,673039.0,674738.0,676722.0,679676.0,677488.0
gold_ocr_number,642010.0,643546.0,645262.0,647734.0,650609.0
ocr_precision,0.0,0.0,0.0,0.0,0.0
ocr_recall,0.0,0.0,0.0,0.0,0.0
